"File Path","Line","Context","Chinese Text","Suggested Key","i18n Key","Replacement"
"src/pages/setting/devise/diyIndex copy.vue","946","text","重置会恢复到上次保存的数据","重置会恢复到上次保存的数据","message.text.重置会恢复到上次保存的数据","$t('message.text.重置会恢复到上次保存的数据')"
"src/pages/setting/devise/diyIndex copy.vue","946","text","确定不保存当前操作吗","确定不保存当前操作吗","message.text.确定不保存当前操作吗","$t('message.text.确定不保存当前操作吗')"
"src/pages/setting/devise/diyIndex copy.vue","948","text","取消","取消","message.text.取消","$t('message.text.取消')"
"src/pages/setting/devise/diyIndex copy.vue","949","text","确定","确定","message.text.确定","$t('message.text.确定')"
"src/pages/setting/devise/diyIndex copy.vue","1108","text","定义滑块","定义滑块","message.text.定义滑块","$t('message.text.定义滑块')"
"src/pages/setting/devise/diyIndex copy.vue","1108","text","内阴影","内阴影","message.text.内阴影","$t('message.text.内阴影')"
"src/pages/setting/devise/diyIndex copy.vue","1108","text","圆角","圆角","message.text.圆角","$t('message.text.圆角')"
"src/pages/setting/devise/diyIndex copy.vue","1124","text","对垂直流动条有效","对垂直流动条有效","message.text.对垂直流动条有效","$t('message.text.对垂直流动条有效')"
"src/pages/setting/devise/diyIndex.vue","2","text","添加主题","添加主题","message.text.添加主题","$t('message.text.添加主题')"
"src/pages/setting/devise/diyIndex.vue","2","text","首页装修","首页装修","message.text.首页装修","$t('message.text.首页装修')"
"src/pages/setting/devise/diyIndex.vue","10","text","返回","返回","message.text.返回","$t('message.text.返回')"
"src/pages/setting/devise/diyIndex.vue","13","text","当前页面","当前页面","message.text.当前页面","$t('message.text.当前页面')"
"src/pages/setting/devise/diyIndex.vue","13","text","模板","模板","message.text.模板","$t('message.text.模板')"
"src/pages/setting/devise/diyIndex.vue","20","placeholder","必填不超过","必填不超过","message.placeholder.必填不超过","$t('message.placeholder.必填不超过')"
"src/pages/setting/devise/diyIndex.vue","20","placeholder","个字","个字","message.placeholder.个字","$t('message.placeholder.个字')"
"src/pages/setting/devise/diyIndex.vue","24","button","取消","取消","message.button.取消","$t('message.button.取消')"
"src/pages/setting/devise/diyIndex.vue","25","button","确定","确定","message.button.确定","$t('message.button.确定')"
"src/pages/setting/devise/diyIndex.vue","32","button","导出","导出","message.button.导出","$t('message.button.导出')"
"src/pages/setting/devise/diyIndex.vue","33","button","导入","导入","message.button.导入","$t('message.button.导入')"
"src/pages/setting/devise/diyIndex.vue","34","button","预览","预览","message.button.预览","$t('message.button.预览')"
"src/pages/setting/devise/diyIndex.vue","35","button","保存","保存","message.button.保存","$t('message.button.保存')"
"src/pages/setting/devise/diyIndex.vue","37","text","保存并关闭","保存并关闭","message.text.保存并关闭","$t('message.text.保存并关闭')"
"src/pages/setting/devise/diyIndex.vue","44","text","左侧","左侧","message.text.左侧","$t('message.text.左侧')"
"src/pages/setting/devise/diyIndex.vue","53","text","拖拽组件","拖拽组件","message.text.拖拽组件","$t('message.text.拖拽组件')"
"src/pages/setting/devise/diyIndex.vue","65","text","搜索框","搜索框","message.text.搜索框","$t('message.text.搜索框')"
"src/pages/setting/devise/diyIndex.vue","66","text","选项卡","选项卡","message.text.选项卡","$t('message.text.选项卡')"
"src/pages/setting/devise/diyIndex.vue","67","text","轮播搜索","轮播搜索","message.text.轮播搜索","$t('message.text.轮播搜索')"
"src/pages/setting/devise/diyIndex.vue","68","text","悬浮按钮","悬浮按钮","message.text.悬浮按钮","$t('message.text.悬浮按钮')"
"src/pages/setting/devise/diyIndex.vue","76","text","释放鼠标将组建添加到此处","释放鼠标将组建添加到此处","message.text.释放鼠标将组建添加到此处","$t('message.text.释放鼠标将组建添加到此处')"
"src/pages/setting/devise/diyIndex.vue","87","text","中间自定义配置移动端页面","中间自定义配置移动端页面","message.text.中间自定义配置移动端页面","$t('message.text.中间自定义配置移动端页面')"
"src/pages/setting/devise/diyIndex.vue","191","text","设置默认","设置默认","message.text.设置默认","$t('message.text.设置默认')"
"src/pages/setting/devise/diyIndex.vue","192","text","恢复默认","恢复默认","message.text.恢复默认","$t('message.text.恢复默认')"
"src/pages/setting/devise/diyIndex.vue","193","button","页面设置","页面设置","message.button.页面设置","$t('message.button.页面设置')"
"src/pages/setting/devise/diyIndex.vue","194","button","另存模板","另存模板","message.button.另存模板","$t('message.button.另存模板')"
"src/pages/setting/devise/diyIndex.vue","195","button","重置","重置","message.button.重置","$t('message.button.重置')"
"src/pages/setting/devise/diyIndex.vue","200","text","右侧页面设置","右侧页面设置","message.text.右侧页面设置","$t('message.text.右侧页面设置')"
"src/pages/setting/devise/diyIndex.vue","215","title","预览","预览","message.title.预览","$t('message.title.预览')"
"src/pages/setting/devise/diyIndex.vue","220","text","公众号二维码","公众号二维码","message.text.公众号二维码","$t('message.text.公众号二维码')"
"src/pages/setting/devise/diyIndex.vue","226","text","小程序二维码","小程序二维码","message.text.小程序二维码","$t('message.text.小程序二维码')"
"src/pages/setting/devise/diyIndex.vue","231","title","设置模版名称","设置模版名称","message.title.设置模版名称","$t('message.title.设置模版名称')"
"src/pages/setting/devise/diyIndex.vue","232","placeholder","请输入模版名称","请输入模版名称","message.placeholder.请输入模版名称","$t('message.placeholder.请输入模版名称')"
"src/pages/setting/devise/diyIndex.vue","234","button","取","取","message.button.取","$t('message.button.取')"
"src/pages/setting/devise/diyIndex.vue","234","button","消","消","message.button.消","$t('message.button.消')"
"src/pages/setting/devise/diyIndex.vue","235","button","确","确","message.button.确","$t('message.button.确')"
"src/pages/setting/devise/diyIndex.vue","235","button","定","定","message.button.定","$t('message.button.定')"
"src/pages/setting/devise/diyIndex.vue","239","text","重置","重置","message.text.重置","$t('message.text.重置')"
"src/pages/setting/devise/diyIndex.vue","241","text","保存","保存","message.text.保存","$t('message.text.保存')"
"src/pages/setting/devise/diyIndex.vue","279","text","首页","首页","message.text.首页","$t('message.text.首页')"
"src/pages/setting/devise/diyIndex.vue","305","text","页面动态高度","页面动态高度","message.text.页面动态高度","$t('message.text.页面动态高度')"
"src/pages/setting/devise/diyIndex.vue","307","text","左侧菜单","左侧菜单","message.text.左侧菜单","$t('message.text.左侧菜单')"
"src/pages/setting/devise/diyIndex.vue","308","text","左侧组件","左侧组件","message.text.左侧组件","$t('message.text.左侧组件')"
"src/pages/setting/devise/diyIndex.vue","309","text","中间组件渲染","中间组件渲染","message.text.中间组件渲染","$t('message.text.中间组件渲染')"
